time,f1,pr_auc,n,n_pos,regime,model,features,seed
49,0.6438356164383562,0.6318200116184662,476,56,temporal_rolling,xgb,base_gfp,0
38,0.9117647058823529,0.9573526464857718,756,111,temporal_rolling,xgb,base_gfp,1
39,0.8827586206896552,0.9474071042185225,1183,81,temporal_rolling,xgb,base_gfp,1
40,0.717391304347826,0.7503315165969716,1211,112,temporal_rolling,xgb,base_gfp,1
41,0.9210526315789473,0.9562804793419523,1132,116,temporal_rolling,xgb,base_gfp,1
42,0.8400954653937948,0.8906540441650126,2154,239,temporal_rolling,xgb,base_gfp,1
43,0.0,0.054931837642048384,1370,24,temporal_rolling,xgb,base_gfp,1
44,0.11764705882352941,0.12346971797832504,1591,24,temporal_rolling,xgb,base_gfp,1
45,0.0,0.030204801067284008,1221,5,temporal_rolling,xgb,base_gfp,1
46,0.07407407407407407,0.5106382978723404,712,2,temporal_rolling,xgb,base_gfp,1
47,0.32432432432432434,0.28300520318138367,846,22,temporal_rolling,xgb,base_gfp,1
48,0.2222222222222222,0.264743998782395,471,36,temporal_rolling,xgb,base_gfp,1
49,0.6438356164383562,0.6318200116184662,476,56,temporal_rolling,xgb,base_gfp,1
38,0.9117647058823529,0.9573526464857718,756,111,temporal_rolling,xgb,base_gfp,2
39,0.8827586206896552,0.9474071042185225,1183,81,temporal_rolling,xgb,base_gfp,2
40,0.717391304347826,0.7503315165969716,1211,112,temporal_rolling,xgb,base_gfp,2
41,0.9210526315789473,0.9562804793419523,1132,116,temporal_rolling,xgb,base_gfp,2
42,0.8400954653937948,0.8906540441650126,2154,239,temporal_rolling,xgb,base_gfp,2
43,0.0,0.054931837642048384,1370,24,temporal_rolling,xgb,base_gfp,2
44,0.11764705882352941,0.12346971797832504,1591,24,temporal_rolling,xgb,base_gfp,2
45,0.0,0.030204801067284008,1221,5,temporal_rolling,xgb,base_gfp,2
46,0.07407407407407407,0.5106382978723404,712,2,temporal_rolling,xgb,base_gfp,2
47,0.32432432432432434,0.28300520318138367,846,22,temporal_rolling,xgb,base_gfp,2
48,0.2222222222222222,0.264743998782395,471,36,temporal_rolling,xgb,base_gfp,2
49,0.6438356164383562,0.6318200116184662,476,56,temporal_rolling,xgb,base_gfp,2
38,0.9117647058823529,0.9573526464857718,756,111,temporal_rolling,xgb,base_gfp,3
39,0.8827586206896552,0.9474071042185225,1183,81,temporal_rolling,xgb,base_gfp,3
40,0.717391304347826,0.7503315165969716,1211,112,temporal_rolling,xgb,base_gfp,3
41,0.9210526315789473,0.9562804793419523,1132,116,temporal_rolling,xgb,base_gfp,3
42,0.8400954653937948,0.8906540441650126,2154,239,temporal_rolling,xgb,base_gfp,3
43,0.0,0.054931837642048384,1370,24,temporal_rolling,xgb,base_gfp,3
44,0.11764705882352941,0.12346971797832504,1591,24,temporal_rolling,xgb,base_gfp,3
45,0.0,0.030204801067284008,1221,5,temporal_rolling,xgb,base_gfp,3
46,0.07407407407407407,0.5106382978723404,712,2,temporal_rolling,xgb,base_gfp,3
47,0.32432432432432434,0.28300520318138367,846,22,temporal_rolling,xgb,base_gfp,3
48,0.2222222222222222,0.264743998782395,471,36,temporal_rolling,xgb,base_gfp,3
49,0.6438356164383562,0.6318200116184662,476,56,temporal_rolling,xgb,base_gfp,3
38,0.9117647058823529,0.9573526464857718,756,111,temporal_rolling,xgb,base_gfp,4
39,0.8827586206896552,0.9474071042185225,1183,81,temporal_rolling,xgb,base_gfp,4
40,0.717391304347826,0.7503315165969716,1211,112,temporal_rolling,xgb,base_gfp,4
41,0.9210526315789473,0.9562804793419523,1132,116,temporal_rolling,xgb,base_gfp,4
42,0.8400954653937948,0.8906540441650126,2154,239,temporal_rolling,xgb,base_gfp,4
43,0.0,0.054931837642048384,1370,24,temporal_rolling,xgb,base_gfp,4
44,0.11764705882352941,0.12346971797832504,1591,24,temporal_rolling,xgb,base_gfp,4
45,0.0,0.030204801067284008,1221,5,temporal_rolling,xgb,base_gfp,4
46,0.07407407407407407,0.5106382978723404,712,2,temporal_rolling,xgb,base_gfp,4
47,0.32432432432432434,0.28300520318138367,846,22,temporal_rolling,xgb,base_gfp,4
48,0.2222222222222222,0.264743998782395,471,36,temporal_rolling,xgb,base_gfp,4
49,0.6438356164383562,0.6318200116184662,476,56,temporal_rolling,xgb,base_gfp,4
38,0.7684729064039408,0.8510248760990491,756,111,temporal_rolling,sage,base,0
39,0.7058823529411765,0.7456597306374385,1183,81,temporal_rolling,sage,base,0
40,0.6597938144329897,0.7296279171162064,1211,112,temporal_rolling,sage,base,0
41,0.7557603686635944,0.8336775106669653,1132,116,temporal_rolling,sage,base,0
42,0.8491879350348028,0.9045891689753885,2154,239,temporal_rolling,sage,base,0
43,0.0,0.03821608339394907,1370,24,temporal_rolling,sage,base,0
44,0.06060606060606061,0.07874745620614795,1591,24,temporal_rolling,sage,base,0
45,0.25,0.0810914071215948,1221,5,temporal_rolling,sage,base,0
